"","location","continent","development","total_cases_per_million","new_cases_per_million","total_deaths_per_million","stringency_index","population","population_density","median_age","aged_65_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","hospital_beds_per_thousand","life_expectancy","human_development_index"
"1","Afghanistan","Asia","low",1071.918,2.44,39.663,5.56,38928341,54.422,18.6,2.581,1803.987,23.8,597.029,9.59,0.5,64.83,0.498
"2","Angola","Africa","medium",335.755,6.998,8.702,80.09,32866268,23.89,16.8,2.405,5819.495,10.1,276.045,3.94,1.5,61.15,0.581
"3","Albania","Europe","high",7478.977,111.544,183.126,50.93,2877800,104.871,38,13.188,11803.431,1.1,304.195,10.08,2.89,78.57,0.785
"4","Andorra","Europe","very high",63262.797,815.376,970.685,59.26,77265,163.755,38.7,15.413,30155.152,1.5,109.135,7.97,2.11,83.73,0.858
"5","United Arab Emirates","Asia","very high",13663.856,124.767,50.251,47.22,9890400,112.442,34,1.144,67293.483,0.2,317.84,17.26,1.2,77.97,0.863
"6","Argentina","South America","very high",26177.623,212.365,699.689,81.94,45195777,16.177,31.9,11.198,18933.907,0.6,191.032,5.5,5,76.67,0.825
"7","Armenia","Asia","high",31983.974,448.159,476.844,62.04,2963234,102.931,35.7,11.232,8787.58,1.8,341.01,7.11,4.2,75.09,0.755
"8","Antigua and Barbuda","North America","high",1307.083,0,30.635,40.74,97928,231.845,32.1,6.933,21490.943,0.1,191.511,13.17,3.8,77.02,0.78
"9","Australia","Oceania","very high",1082.436,0.275,35.569,47.69,25499881,3.202,37.9,15.504,44648.71,0.5,107.791,5.07,3.84,83.44,0.939
"10","Austria","Europe","very high",12687.644,350.862,126.021,75,9006400,106.749,44.4,19.202,45436.686,0.7,145.183,6.35,7.37,81.54,0.908
"11","Azerbaijan","Asia","high",5625.704,58.782,74.266,64.35,10139175,119.309,32.4,6.018,15847.419,0.5,559.812,7.11,4.7,73,0.757
"12","Burundi","Africa","low",49.534,0,0.084,14.81,11890781,423.062,17.5,2.562,702.225,71.7,293.068,6.05,0.8,61.58,0.417
"13","Belgium","Europe","very high",40133.426,1195.035,1053.961,65.74,11589616,375.564,41.8,18.571,42658.576,0.2,114.898,4.29,5.64,81.63,0.916
"14","Benin","Africa","low",221.311,3.299,3.382,31.48,12123198,99.11,18.8,3.244,2064.236,49.6,235.848,0.99,0.5,61.77,0.515
"15","Burkina Faso","Africa","low",120.412,0.813,3.205,71.3,20903278,70.151,17.6,2.409,1703.102,43.7,269.048,2.42,0.4,61.58,0.423
"16","Bangladesh","Asia","medium",2495.534,10.541,36.226,80.09,164689383,1265.036,27.5,5.098,3523.984,14.8,298.003,8.38,0.8,72.59,0.608
"17","Bulgaria","Europe","very high",8130.74,349.287,194.144,48.15,6948445,65.18,44.7,20.801,18563.307,1.5,424.688,5.81,7.454,75.05,0.813
"18","Bahrain","Asia","very high",48268.583,123.414,189.823,58.33,1701583,1935.907,32.4,2.372,43290.705,0.1,151.689,16.52,2,77.29,0.846
"19","Bahamas","North America","very high",17126.597,53.401,371.267,73.15,393248,39.497,34.3,8.996,27717.847,0.1,235.954,13.17,2.9,73.92,0.807
"20","Bosnia and Herzegovina","Europe","high",15931.712,232.869,390.147,40.74,3280815,68.496,42.5,16.569,11713.895,0.2,329.635,10.08,3.5,77.4,0.768
"21","Belarus","Europe","very high",10625.102,99.584,104.664,22.22,9449321,46.858,40.3,14.799,17167.967,5.7,443.129,5.18,11,74.79,0.808
"22","Belize","North America","high",9114.207,407.423,148.383,66.67,397621,16.426,25,3.853,7824.362,0.1,176.957,17.11,1.3,74.62,0.708
"23","Bolivia","South America","medium",12153.401,2.913,748.82,81.48,11673029,10.202,25.4,6.704,6885.829,7.1,204.299,6.89,1.1,71.51,0.693
"24","Brazil","South America","high",26130.135,39.994,753.921,57.87,212559409,25.04,33.5,8.552,14103.452,3.4,177.961,8.11,2.2,75.88,0.759
"25","Barbados","North America","very high",828.198,3.48,24.359,40.74,287371,664.463,39.8,14.952,16978.068,1.5,170.05,13.57,5.8,79.19,0.8
"26","Brunei","Asia","very high",338.299,0,6.857,35.19,437483,81.347,32.4,4.591,71809.251,0.7,201.285,12.79,2.7,75.86,0.853
