,iso_code,continent,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
320,AFG      ,Asia          ,Afghanistan                      ,43240.0     ,205.0     ,154.429            ,1617.0       ,12.0       ,7.857               ,1110.759                ,5.266                 ,3.967                          ,41.538                   ,0.308                  ,0.202                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,38928341.0,54.422             ,18.6       ,2.581         ,1.337         ,1803.987       ,                ,597.029               ,9.59                ,               ,             ,37.746                 ,0.5                        ,64.83,0.498
572,ALB      ,Europe        ,Albania                          ,27233.0     ,532.0     ,504.0              ,612.0        ,7.0        ,7.857               ,9463.132                ,184.863               ,175.134                        ,212.662                  ,2.432                  ,2.73                            ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,2877800.0,104.871            ,38.0       ,13.188        ,8.643         ,11803.431      ,1.1             ,304.195               ,10.08               ,7.1            ,51.2         ,                       ,2.89                       ,78.57,0.785
893,DZA      ,Africa        ,Algeria                          ,66819.0     ,844.0     ,776.857            ,2139.0       ,14.0       ,14.714              ,1523.772                ,19.247                ,17.716                         ,48.779                   ,0.319                  ,0.336                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,72.22            ,43851043.0,17.348             ,29.1       ,6.211         ,3.857         ,13913.839      ,0.5             ,278.364               ,6.73                ,0.7            ,30.4         ,83.741                 ,1.9                        ,76.88,0.754
1146,AND      ,Europe        ,Andorra                          ,5725.0      ,0.0       ,58.0               ,75.0         ,0.0        ,0.0                 ,74095.645               ,0.0                   ,750.663                        ,970.685                  ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,77265.0,163.755            ,           ,              ,              ,               ,                ,109.135               ,7.97                ,29.0           ,37.8         ,                       ,                           ,83.73,0.858
1385,AGO      ,Africa        ,Angola                           ,13228.0     ,171.0     ,143.571            ,317.0        ,2.0        ,2.429               ,402.48                  ,5.203                 ,4.368                          ,9.645                    ,0.061                  ,0.074                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,32866268.0,23.89              ,16.8       ,2.405         ,1.362         ,5819.495       ,                ,276.045               ,3.94                ,               ,             ,26.664                 ,                           ,61.15,0.581
1619,AIA      ,North America ,Anguilla                         ,3.0         ,0.0       ,0.0                ,             ,0.0        ,0.0                 ,199.973                 ,0.0                   ,0.0                            ,                         ,0.0                    ,0.0                             ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,15002.0,                   ,           ,              ,              ,               ,                ,                      ,                    ,               ,             ,                       ,                           ,81.88,
1860,ATG      ,North America ,Antigua and Barbuda              ,134.0       ,1.0       ,0.429              ,4.0          ,0.0        ,0.143               ,1368.352                ,10.212                ,4.376                          ,40.846                   ,0.0                    ,1.459                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,97928.0,231.845            ,32.1       ,6.933         ,4.631         ,21490.943      ,                ,191.511               ,13.17               ,               ,             ,                       ,3.8                        ,77.02,0.78
2116,ARG      ,South America ,Argentina                        ,1304831.0   ,8468.0    ,9713.286           ,35307.0      ,262.0      ,279.857             ,28870.64                ,187.363               ,214.916                        ,781.201                  ,5.797                  ,6.192                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,45195777.0,16.177             ,31.9       ,11.198        ,7.441         ,18933.907      ,0.6             ,191.032               ,5.5                 ,16.2           ,27.7         ,                       ,5.0                        ,76.67,0.825
2437,ARM      ,Asia          ,Armenia                          ,117337.0    ,1482.0    ,1559.0             ,1763.0       ,25.0       ,29.143              ,39597.615               ,500.129               ,526.114                        ,594.958                  ,8.437                  ,9.835                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,2963234.0,102.931            ,35.7       ,11.232        ,7.571         ,8787.58        ,1.8             ,341.01                ,7.11                ,1.5            ,52.1         ,94.043                 ,4.2                        ,75.09,0.755
2680,ABW      ,North America ,Aruba                            ,4658.0      ,8.0       ,9.857              ,44.0         ,1.0        ,0.571               ,43628.121               ,74.93                 ,92.325                         ,412.116                  ,9.366                  ,5.352                           ,                  ,             ,                         ,              ,                          ,                      ,                                  ,                       ,                                   ,            ,          ,                         ,                       ,                   ,                                ,               ,              ,                              ,                 ,106766.0,584.8              ,41.2       ,13.085        ,7.452         ,35973.781      ,                ,                      ,11.62               ,               ,             ,                       ,                           ,76.29,
