,continent,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,human_development_index
0,Asia,Afghanistan,41728.0,95.0,99.429,1544.0,3.0,3.1430000000000002,1071.9180000000001,2.44,2.5540000000000003,39.663000000000004,0.077,5.56,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,0.5,64.83,0.498
1,Africa,Angola,11035.0,230.0,236.28599999999997,286.0,2.0,2.571,335.755,6.997999999999999,7.189,8.702,0.061,,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,276.045,3.94,,61.15,0.581
2,Europe,Albania,21523.0,321.0,296.857,527.0,9.0,6.7139999999999995,7478.977,111.544,103.154,183.12599999999998,3.127,50.93,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,2.89,78.57,0.785
3,Europe,Andorra,4888.0,63.0,80.429,75.0,0.0,0.429,63262.797,815.3760000000001,1040.944,970.685,0.0,59.26,77265.0,163.755,,,,,,109.135,7.97,,83.73,0.858
4,Asia,United Arab Emirates,135141.0,1234.0,1272.4289999999999,497.0,1.0,2.4290000000000003,13663.856000000002,124.76700000000001,128.653,50.251000000000005,0.10099999999999999,47.22,9890400.0,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,,317.84,17.26,1.2,77.97,0.863
5,South America,Argentina,1183118.0,9598.0,11547.143,31623.0,483.0,331.714,26177.623,212.365,255.49200000000002,699.689,10.687000000000001,81.94,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,5.0,76.67,0.825
6,Asia,Armenia,94776.0,1328.0,2052.286,1413.0,22.0,27.285999999999998,31983.974,448.159,692.5830000000001,476.844,7.4239999999999995,,2963234.0,102.931,35.7,11.232000000000001,7.571000000000001,8787.58,1.8,341.01,7.11,4.2,75.09,0.755
7,North America,Antigua and Barbuda,128.0,0.0,0.5710000000000001,3.0,0.0,0.0,1307.083,0.0,5.835,30.635,0.0,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,3.8,77.02,0.78
8,Oceania,Australia,27602.0,7.0,10.714,907.0,0.0,0.28600000000000003,1082.4360000000001,0.275,0.42,35.569,0.0,47.69,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,3.84,83.44,0.9390000000000001
9,Europe,Austria,114270.0,3160.0,4174.571,1135.0,21.0,21.0,12687.643999999998,350.86199999999997,463.51199999999994,126.021,2.332,75.0,9006400.0,106.749,44.4,19.202,13.748,45436.685999999994,0.7,145.183,6.35,7.37,81.54,0.9079999999999999
10,Asia,Azerbaijan,57040.0,596.0,936.2860000000001,753.0,13.0,10.571,5625.704000000001,58.782,92.34299999999999,74.266,1.2819999999999998,64.35,10139175.0,119.309,32.4,6.018,3.8710000000000004,15847.419,,559.812,7.11,4.7,73.0,0.757
11,Africa,Burundi,589.0,0.0,4.571000000000001,1.0,0.0,0.0,49.534,0.0,0.384,0.084,0.0,14.81,11890781.0,423.06199999999995,17.5,2.562,1.504,702.225,71.7,293.068,6.05,0.8,61.58,0.41700000000000004
12,Europe,Belgium,465131.0,13850.0,13353.571000000002,12215.0,205.0,162.286,40133.426,1195.035,1152.201,1053.961,17.688,65.74,11589616.0,375.564,41.8,18.570999999999998,12.849,42658.575999999994,0.2,114.898,4.29,5.64,81.63,0.9159999999999999
13,Africa,Benin,2683.0,40.0,18.0,41.0,0.0,0.0,221.31099999999998,3.299,1.485,3.3819999999999997,0.0,31.48,12123198.0,99.11,18.8,3.2439999999999998,1.942,2064.236,49.6,235.84799999999998,0.99,0.5,61.77,0.515
14,Africa,Burkina Faso,2517.0,17.0,8.286,67.0,0.0,0.0,120.412,0.813,0.396,3.205,0.0,,20903278.0,70.15100000000001,17.6,2.4090000000000003,1.358,1703.102,43.7,269.048,2.42,0.4,61.58,0.423
15,Asia,Bangladesh,410988.0,1736.0,1533.8570000000002,5966.0,25.0,21.143,2495.534,10.540999999999999,9.314,36.226,0.152,80.09,164689383.0,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,298.003,8.38,0.8,72.59,0.608
16,Europe,Bulgaria,56496.0,2427.0,2337.714,1349.0,51.0,30.429000000000002,8130.74,349.287,336.43699999999995,194.144,7.34,48.15,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,7.454,75.05,0.813
17,Asia,Bahrain,82133.0,210.0,228.571,323.0,2.0,1.0,48268.583,123.414,134.329,189.82299999999998,1.175,58.33,1701583.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,,151.689,16.52,2.0,77.29,0.846
18,North America,Bahamas,6735.0,21.0,38.429,146.0,2.0,2.0,17126.596999999998,53.401,97.721,371.267,5.086,,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,2.9,73.92,0.807
19,Europe,Bosnia and Herzegovina,52269.0,764.0,1521.8570000000002,1280.0,32.0,25.143,15931.712,232.86900000000003,463.866,390.147,9.754,40.74,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,3.5,77.4,0.768
20,Europe,Belarus,100400.0,941.0,956.143,989.0,4.0,4.0,10625.101999999999,99.584,101.186,104.664,0.423,22.22,9449321.0,46.858000000000004,40.3,14.799000000000001,9.788,17167.967,,443.129,5.18,11.0,74.79,0.8079999999999999
21,North America,Belize,3624.0,162.0,60.571000000000005,59.0,1.0,1.143,9114.207,407.423,152.335,148.38299999999998,2.515,66.67,397621.0,16.426,25.0,3.853,2.279,7824.361999999999,,176.957,17.11,1.3,74.62,0.708
22,South America,Bolivia,141867.0,34.0,130.714,8741.0,10.0,11.857000000000001,12153.401000000002,2.9130000000000003,11.198,748.82,0.857,81.48,11673029.0,10.202,25.4,6.704,4.393,6885.829000000001,7.1,204.299,6.89,1.1,71.51,0.693
23,South America,Brazil,5554206.0,8501.0,20621.714,160253.0,179.0,408.0,26130.135,39.994,97.016,753.921,0.8420000000000001,57.87,212559409.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.96099999999998,8.11,2.2,75.88,0.759
24,North America,Barbados,238.0,1.0,0.7140000000000001,7.0,0.0,0.0,828.198,3.48,2.4859999999999998,24.359,0.0,40.74,287371.0,664.4630000000001,39.8,14.952,9.472999999999999,16978.068,,170.05,13.57,5.8,79.19,0.8
25,Asia,Brunei,148.0,0.0,0.0,3.0,0.0,0.0,338.29900000000004,0.0,0.0,6.857,0.0,35.19,437483.0,81.347,32.4,4.591,2.3819999999999997,71809.25099999999,,201.285,12.79,2.7,75.86,0.853
26,Asia,Bhutan,356.0,2.0,2.0,,0.0,0.0,461.37199999999996,2.592,2.592,,0.0,77.78,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,217.06599999999997,9.75,1.7,71.78,0.612
27,Africa,Botswana,6642.0,0.0,51.286,24.0,0.0,0.429,2824.43,0.0,21.809,10.206,0.0,52.78,2351625.0,4.044,25.8,3.9410000000000003,2.242,15807.374,,237.372,4.81,1.8,69.59,0.7170000000000001
28,Africa,Central African Republic,4866.0,0.0,0.429,62.0,0.0,0.0,1007.503,0.0,0.08900000000000001,12.837,0.0,,4829764.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,1.0,53.28,0.36700000000000005
29,North America,Canada,240263.0,3422.0,2864.2859999999996,10208.0,29.0,33.571,6365.905,90.66799999999999,75.891,270.467,0.768,60.65,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,2.5,82.43,0.9259999999999999
30,Europe,Switzerland,175570.0,21842.0,7841.429,2128.0,93.0,30.714000000000002,20286.28,2523.739,906.04,245.88,10.745999999999999,50.93,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,4.53,83.78,0.9440000000000001
31,South America,Chile,513188.0,1324.0,1370.0,14302.0,55.0,42.714,26845.699,69.26100000000001,71.667,748.1610000000001,2.877,76.39,19116209.0,24.281999999999996,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,2.11,80.18,0.843
32,Asia,China,91396.0,49.0,31.570999999999998,4739.0,0.0,0.0,63.498999999999995,0.034,0.022000000000000002,3.293,0.0,63.43,1439323774.0,147.674,38.7,10.640999999999998,5.928999999999999,15308.712,0.7,261.899,9.74,4.34,76.91,0.752
33,Africa,Cote d'Ivoire,20753.0,37.0,38.143,126.0,0.0,0.5710000000000001,786.7460000000001,1.403,1.446,4.777,0.0,,26378275.0,76.399,18.7,2.9330000000000003,1.5819999999999999,3601.006,28.2,303.74,2.42,,57.78,0.49200000000000005
34,Africa,Cameroon,21793.0,0.0,0.0,426.0,0.0,0.0,820.957,0.0,0.0,16.048,0.0,45.37,26545864.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.66099999999997,7.2,1.3,59.29,0.556
35,Africa,Democratic Republic of Congo,11372.0,1.0,28.429000000000002,307.0,0.0,0.429,126.97399999999999,0.011000000000000001,0.317,3.428,0.0,,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,60.68,0.457
36,Africa,Congo,5290.0,0.0,5.2860000000000005,92.0,0.0,0.0,958.665,0.0,0.958,16.672,0.0,47.22,5518092.0,15.405,19.0,3.4019999999999997,2.063,4881.406,37.0,344.094,7.2,,64.57,0.606
37,South America,Colombia,1093256.0,9935.0,9743.429,31670.0,155.0,188.857,21485.732000000004,195.252,191.487,622.41,3.0460000000000003,65.74,50882884.0,44.223,32.2,7.646,4.312,13254.948999999999,4.5,124.24,7.44,1.71,77.29,0.747
