   ,continent     ,location             ,total_cases ,new_cases ,new_cases_smoothed ,total_deaths ,new_deaths ,new_deaths_smoothed ,total_cases_per_million ,new_cases_per_million ,new_cases_smoothed_per_million ,total_deaths_per_million ,new_deaths_per_million ,total_tests ,new_tests ,total_tests_per_thousand ,new_tests_per_thousand ,new_tests_smoothed ,new_tests_smoothed_per_thousand ,positive_rate ,stringency_index ,population   ,population_density ,median_age ,aged_65_older ,aged_70_older ,gdp_per_capita ,extreme_poverty ,cardiovasc_death_rate ,diabetes_prevalence ,female_smokers ,male_smokers ,hospital_beds_per_thousand ,life_expectancy ,human_development_index
0  ,Oceania       ,Australia            ,27602.0     ,7.0       ,10.714             ,907.0        ,0.0        ,0.286               ,1082.436                ,0.275                 ,0.42                           ,35.569                   ,0.0                    ,8887171.0   ,31770.0   ,348.518                  ,1.246                  ,41230.0            ,1.617                           ,0.0           ,47.69            ,25499881.0   ,3.202              ,37.9       ,15.504        ,10.129        ,44648.71       ,0.5             ,107.791               ,5.07                ,13.0           ,16.5         ,3.84                       ,83.44           ,0.9390000000000001
1  ,Europe        ,Austria              ,114270.0    ,3160.0    ,4174.571           ,1135.0       ,21.0       ,21.0                ,12687.644               ,350.862               ,463.512                        ,126.021                  ,2.332                  ,2305382.0   ,25881.0   ,255.972                  ,2.874                  ,25671.0            ,2.85                            ,0.163         ,75.0             ,9006400.0    ,106.749            ,44.4       ,19.202        ,13.748        ,45436.686      ,0.7             ,145.183               ,6.35                ,28.4           ,30.9         ,7.37                       ,81.54           ,0.9079999999999999
2  ,Asia          ,Bahrain              ,82133.0     ,210.0     ,228.571            ,323.0        ,2.0        ,1.0                 ,48268.583               ,123.414               ,134.329                        ,189.823                  ,1.175                  ,1770015.0   ,10699.0   ,1040.217                 ,6.288                  ,9403.0             ,5.526                           ,0.024         ,58.33            ,1701583.0    ,1935.907           ,32.4       ,2.372         ,1.387         ,43290.705      ,                ,151.689               ,16.52               ,5.8            ,37.6         ,2.0                        ,77.29           ,0.846
3  ,Asia          ,Bangladesh           ,410988.0    ,1736.0    ,1533.857           ,5966.0       ,25.0       ,21.143              ,2495.534                ,10.541                ,9.314                          ,36.226                   ,0.152                  ,2373590.0   ,14061.0   ,14.413                   ,0.085                  ,12775.0            ,0.078                           ,0.12          ,80.09            ,164689383.0  ,1265.036           ,27.5       ,5.098         ,3.262         ,3523.984       ,14.8            ,298.003               ,8.38                ,1.0            ,44.7         ,0.8                        ,72.59           ,0.608
4  ,Europe        ,Belgium              ,465131.0    ,13850.0   ,13353.571          ,12215.0      ,205.0      ,162.286             ,40133.426               ,1195.035              ,1152.201                       ,1053.961                 ,17.688                 ,5123684.0   ,54555.0   ,442.093                  ,4.707                  ,53950.0            ,4.655                           ,0.247         ,65.74            ,11589616.0   ,375.564            ,41.8       ,18.571        ,12.849        ,42658.576      ,0.2             ,114.898               ,4.29                ,25.1           ,31.4         ,5.64                       ,81.63           ,0.9159999999999999
5  ,South America ,Bolivia              ,141867.0    ,34.0      ,130.714            ,8741.0       ,10.0       ,11.857              ,12153.401               ,2.913                 ,11.198                         ,748.82                   ,0.857                  ,332885.0    ,739.0     ,28.517                   ,0.063                  ,797.0              ,0.068                           ,0.164         ,81.48            ,11673029.0   ,10.202             ,25.4       ,6.704         ,4.393         ,6885.829       ,7.1             ,204.299               ,6.89                ,               ,             ,1.1                        ,71.51           ,0.693
6  ,Europe        ,Bulgaria             ,56496.0     ,2427.0    ,2337.714           ,1349.0       ,51.0       ,30.429              ,8130.74                 ,349.287               ,336.437                        ,194.144                  ,7.34                   ,735326.0    ,7910.0    ,105.826                  ,1.138                  ,9401.0             ,1.353                           ,0.249         ,48.15            ,6948445.0    ,65.18              ,44.7       ,20.801        ,13.272        ,18563.307      ,1.5             ,424.688               ,5.81                ,30.1           ,44.4         ,7.454                      ,75.05           ,0.813
7  ,North America ,Canada               ,240263.0    ,3422.0    ,2864.286           ,10208.0      ,29.0       ,33.571              ,6365.905                ,90.668                ,75.891                         ,270.467                  ,0.768                  ,9663055.0   ,65491.0   ,256.028                  ,1.735                  ,58334.0            ,1.546                           ,0.049         ,60.65            ,37742157.0   ,4.037              ,41.4       ,16.984        ,10.797        ,44017.591      ,0.5             ,105.599               ,7.37                ,12.0           ,16.6         ,2.5                        ,82.43           ,0.9259999999999999
8  ,South America ,Chile                ,513188.0    ,1324.0    ,1370.0             ,14302.0      ,55.0       ,42.714              ,26845.699               ,69.261                ,71.667                         ,748.161                  ,2.877                  ,4401804.0   ,23654.0   ,230.266                  ,1.237                  ,33205.0            ,1.737                           ,0.041         ,76.39            ,19116209.0   ,24.282             ,35.4       ,11.087        ,6.938         ,22767.037      ,1.3             ,127.993               ,8.46                ,34.2           ,41.5         ,2.11                       ,80.18           ,0.843
9  ,South America ,Colombia             ,1093256.0   ,9935.0    ,9743.429           ,31670.0      ,155.0      ,188.857             ,21485.732               ,195.252               ,191.487                        ,622.41                   ,3.046                  ,4291983.0   ,26108.0   ,84.35                    ,0.513                  ,31045.0            ,0.61                            ,              ,65.74            ,50882884.0   ,44.223             ,32.2       ,7.646         ,4.312         ,13254.949      ,4.5             ,124.24                ,7.44                ,4.7            ,13.5         ,1.71                       ,77.29           ,0.747
