    ,date       ,amount
0   ,2019-12-31 ,1
319 ,2020-11-14 ,1
320 ,2020-11-15 ,1
3   ,2020-01-03 ,2
1   ,2020-01-01 ,2
7   ,2020-01-07 ,2
2   ,2020-01-02 ,2
5   ,2020-01-05 ,3
4   ,2020-01-04 ,3
17  ,2020-01-17 ,3
15  ,2020-01-15 ,3
14  ,2020-01-14 ,3
13  ,2020-01-13 ,3
6   ,2020-01-06 ,3
11  ,2020-01-11 ,3
10  ,2020-01-10 ,3
8   ,2020-01-08 ,3
9   ,2020-01-09 ,3
12  ,2020-01-12 ,3
22  ,2020-01-22 ,4
23  ,2020-01-23 ,4
19  ,2020-01-19 ,4
16  ,2020-01-16 ,4
18  ,2020-01-18 ,4
20  ,2020-01-20 ,4
21  ,2020-01-21 ,5
24  ,2020-01-24 ,5
25  ,2020-01-25 ,5
26  ,2020-01-26 ,6
28  ,2020-01-28 ,7
29  ,2020-01-29 ,7
31  ,2020-01-31 ,7
36  ,2020-02-05 ,7
34  ,2020-02-03 ,8
27  ,2020-01-27 ,8
32  ,2020-02-01 ,8
39  ,2020-02-08 ,8
42  ,2020-02-11 ,9
41  ,2020-02-10 ,9
43  ,2020-02-12 ,9
46  ,2020-02-15 ,9
40  ,2020-02-09 ,9
35  ,2020-02-04 ,9
37  ,2020-02-06 ,9
30  ,2020-01-30 ,9
38  ,2020-02-07 ,9
33  ,2020-02-02 ,9
44  ,2020-02-13 ,10
48  ,2020-02-17 ,10
52  ,2020-02-21 ,10
47  ,2020-02-16 ,11
54  ,2020-02-23 ,11
45  ,2020-02-14 ,11
49  ,2020-02-18 ,13
50  ,2020-02-19 ,13
51  ,2020-02-20 ,14
53  ,2020-02-22 ,14
318 ,2020-11-13 ,15
55  ,2020-02-24 ,16
56  ,2020-02-25 ,16
57  ,2020-02-26 ,20
61  ,2020-03-01 ,22
60  ,2020-02-29 ,23
58  ,2020-02-27 ,23
59  ,2020-02-28 ,24
62  ,2020-03-02 ,27
63  ,2020-03-03 ,32
65  ,2020-03-05 ,32
68  ,2020-03-08 ,32
64  ,2020-03-04 ,33
69  ,2020-03-09 ,34
66  ,2020-03-06 ,35
67  ,2020-03-07 ,37
71  ,2020-03-11 ,37
70  ,2020-03-10 ,38
72  ,2020-03-12 ,45
73  ,2020-03-13 ,45
317 ,2020-11-12 ,47
74  ,2020-03-14 ,48
75  ,2020-03-15 ,50
76  ,2020-03-16 ,52
77  ,2020-03-17 ,54
79  ,2020-03-19 ,54
78  ,2020-03-18 ,55
81  ,2020-03-21 ,55
80  ,2020-03-20 ,56
83  ,2020-03-23 ,57
86  ,2020-03-26 ,58
85  ,2020-03-25 ,60
82  ,2020-03-22 ,61
84  ,2020-03-24 ,62
87  ,2020-03-27 ,65
88  ,2020-03-28 ,69
91  ,2020-03-31 ,69
89  ,2020-03-29 ,70
90  ,2020-03-30 ,70
94  ,2020-04-03 ,71
316 ,2020-11-11 ,72
93  ,2020-04-02 ,72
95  ,2020-04-04 ,73
92  ,2020-04-01 ,74
96  ,2020-04-05 ,78
298 ,2020-10-24 ,78
315 ,2020-11-10 ,79
97  ,2020-04-06 ,79
99  ,2020-04-08 ,80
112 ,2020-04-21 ,80
98  ,2020-04-07 ,80
311 ,2020-11-06 ,81
313 ,2020-11-08 ,81
111 ,2020-04-20 ,81
312 ,2020-11-07 ,81
107 ,2020-04-16 ,81
